analysis	cohort	sample	signal	width	jsd	tv	hellinger	oops_ap	zoops_ap	oops_conf	zoops_conf	zoops_fraction	oops_resampling	zoops_resampling
ctcf_initial	calu3-development	9	25.0	19	0.38604948882756807			0.07108707189037186	0.07339815821324876	4.7703337774586085	6.27537934881437	0.13	0.19526661388603558	0.5588317665828617
ctcf_initial	calu3-development	9	50.0	19	0.392471401573633			0.07137452755500098	0.0752219642473974	0.0	5.874025210613835	0.099	0.0221897610068732	0.5187009801251318
ctcf_initial	calu3-development	9	75.0	19	0.1993490743543959			0.6654921497447983	0.6906228310411808	6.371026337938805	6.710212132352414	0.66	0.10252069211664712	0.10247729246067164
ctcf_initial	calu3-development	9	100.0	19	0.003635947518083949			0.6922144291564765	0.7036027579194167	7.09188144905436	7.165726083241681	0.845	0.10180642211526858	0.10154075169702256
ctcf_initial	calu3-development	10	0.0	19	0.38739741388569804			0.07055004076696658	0.0754117876961347	5.50800104814514	6.507780932268523	0.159	0.009216232366782562	0.50340991090647
ctcf_initial	calu3-development	10	10.0	19	0.4592069323529244			0.07088481865200892	0.07413085062755342	4.896524821872533	6.3833728738335855	0.145	0.007357315485500536	0.49416686161373097
ctcf_initial	calu3-development	10	25.0	19	0.4486336827156226			0.0711194736973878	0.0740335053185412	3.6888794541139363	6.1950743553432215	0.126	0.008941636986605148	0.5422399143083332
ctcf_initial	calu3-development	10	50.0	19	0.2057904081843148			0.0719429947940041	0.07167996300109075	0.0	5.849684769138963	0.113	0.01353976836531341	0.4358151271275629
ctcf_initial	calu3-development	10	75.0	19	0.10804034967372504			0.6596382696747944	0.6946246771823115	6.354014986498848	6.7004476143590015	0.672	0.10328707018721528	0.0028649103003778034
ctcf_initial	calu3-development	10	100.0	19	0.19347566940481872			0.6926491699718057	0.7050086187147154	7.024792392871827	7.089775350470616	0.828	0.10175939506122833	0.10146902007159482
ctcf_initial	a549-encsr035oxa	1	0.0	19	0.4567919983813842			0.07213406678279889	0.0750830185098405	4.702697226234404	6.403691047190929	0.15	0.0058300834508161975	0.4774066403292924
ctcf_initial	a549-encsr035oxa	1	10.0	19	0.2934386642367408			0.07231114607804742	0.07167965737743837	4.088959768630108	6.340101549108572	0.141	0.00762445160394107	0.5497737060334
ctcf_initial	a549-encsr035oxa	1	25.0	19	0.3728255211772482			0.07385893016791574	0.07190399257260577	0.0	6.130782651909085	0.119	0.18683450566853604	0.5757275912933186
ctcf_initial	a549-encsr035oxa	1	50.0	19	0.30322628784956973			0.07553997199773398	0.07442676126620425	0.0	5.386084567142891	0.08	0.11477600749524572	0.4935945979209778
ctcf_initial	a549-encsr035oxa	1	75.0	19	0.01293447175699944			0.7000185214025868	0.7290868229583548	6.295586845161763	6.6964450355290275	0.611	0.19245636810978434	0.10317459632041286
ctcf_initial	a549-encsr035oxa	1	100.0	19	0.10493724197360517			0.723824679257033	0.7376671412607415	7.043488901787627	7.132711271823599	0.818	0.1017209445400676	0.0023028961778828196
ctcf_initial	a549-encsr035oxa	2	0.0	19	0.4576919340888653			0.07355337437546242	0.0760287690356561	4.921066042359976	6.498574004512152	0.164	0.00798504403558437	0.008935532803260237
ctcf_initial	a549-encsr035oxa	2	10.0	19	0.4564028347278369			0.07389517393969017	0.07582481082153136	4.160924253133749	6.387646587152316	0.149	0.10732137812232061	0.010221157637923738
ctcf_initial	a549-encsr035oxa	2	25.0	19	0.45608002091295036			0.07412271037846684	0.0763114941273008	0.0	6.1371755575365015	0.12	0.10922374772468868	0.011956364907698679
ctcf_initial	a549-encsr035oxa	2	50.0	19	0.30376702620227675			0.07631370788484525	0.07108249473824786	0.0	5.680312389717184	0.195	0.01657041927339286	0.4791928572686269
ctcf_initial	a549-encsr035oxa	2	75.0	19	0.013461271664339362			0.7025207001150031	0.7393161782382667	6.391450080394973	6.756257994922001	0.582	0.002975936711433276	0.0043628801751564375
ctcf_initial	a549-encsr035oxa	2	100.0	19	0.10314670985102792			0.724825488520898	0.7387898200396641	7.099081069025576	7.212263942455401	0.858	0.19223895441100916	0.0022624531084218746
ctcf_initial	a549-encsr035oxa	3	0.0	19	0.32043064236487595			0.07275010413256021	0.07484418252285908	4.824730059341545	6.330019419050967	0.139	0.10576027881107479	0.006466170044536112
ctcf_initial	a549-encsr035oxa	3	10.0	19	0.3158696999566118			0.07288750872770307	0.07502692938553934	4.407160761644073	6.249975242259483	0.132	0.10746177229236287	0.10744652568514321
ctcf_initial	a549-encsr035oxa	3	25.0	19	0.3578626418528738			0.07389502231958478	0.07461038508229119	0.0	6.066826634487431	0.128	0.011715974007507512	0.5143134545040603
ctcf_initial	a549-encsr035oxa	3	50.0	19	0.3970407607031758			0.07579855920438314	0.07470697996006873	0.0	5.703402591335312	0.085	0.01889356726871611	0.11212037768524534
ctcf_initial	a549-encsr035oxa	3	75.0	19	0.011638298554522041			0.6973959801313785	0.731127263964602	6.370771559769837	6.7700078786308975	0.637	0.10349945753569481	0.0048616287095232654
ctcf_initial	a549-encsr035oxa	3	100.0	19	0.0023369374539002562			0.7329814936493483	0.7407528295403161	7.141834598215115	7.209169791688956	0.856	0.0022097335675219133	0.0023737133167238676
ctcf_initial	a549-encsr035oxa	4	0.0	19	0.3915259244373801			0.07271086108674811	0.07597064453337712	5.569247042939508	6.645334225538547	0.183	0.10608291903297029	0.4192321056507006
ctcf_initial	a549-encsr035oxa	4	10.0	19	0.4704935303997812			0.0739909990286093	0.07590577325161715	5.134762069271025	6.564811037030779	0.171	0.10619376767370563	0.008033427018538725
ctcf_initial	a549-encsr035oxa	4	25.0	19	0.37918573182828846			0.07355110555492873	0.0759870735726762	4.730626211439776	6.434263828338197	0.157	0.10678354461404771	0.4221552373935489
ctcf_initial	a549-encsr035oxa	4	50.0	19	0.39124476904903405			0.0762269545323194	0.07512584551778433	0.0	6.172921202173973	0.12	0.11319652622103844	0.4272287627208397
ctcf_initial	a549-encsr035oxa	4	75.0	19	0.10854049510374844			0.6868491612917764	0.728516667046015	6.443047615341729	6.749339508263954	0.665	0.19415963045714374	0.0029353025418549267
ctcf_initial	a549-encsr035oxa	4	100.0	19	0.1927086731406045			0.7216968249589442	0.7159073507901093	7.0992954710142335	7.150181512380375	0.858	0.1923710699599067	0.2540988955456614
ctcf_initial	a549-encsr035oxa	5	0.0	19	0.4575904699411865			0.07193749372790986	0.0756815220069093	5.349889498653876	6.510088767586492	0.157	0.01144582253053938	0.009383556886258027
ctcf_initial	a549-encsr035oxa	5	10.0	19	0.3887809951226697			0.07268178746162163	0.0755100256829195	4.835121487610404	6.428194957399231	0.149	0.11034188404034236	0.009578700374474286
ctcf_initial	a549-encsr035oxa	5	25.0	19	0.40235777867204825			0.07328851513160964	0.07549410224281701	1.706317461255453	6.261412687526912	0.129	0.10863445003288943	0.009941297758719275
ctcf_initial	a549-encsr035oxa	5	50.0	19	0.464339479352664			0.07529530812091186	0.07627611738343526	0.0	5.74573621879202	0.083	0.014726000522838477	0.013279199982193565
ctcf_initial	a549-encsr035oxa	5	75.0	19	0.013194972580699729			0.7021466517468606	0.7310897680900571	6.406499634996866	6.7706218318436475	0.631	0.10385328553118942	0.002586629408236358
